MSE,MAE,CCC,RMSE,JSD,Hellinger,EMD,Spearman,Pearson,Cosine,st_data_dir,sc_data_dir,results_path,split_seed,split_size,val_size,adjacency_threshold,adjacency_sigma,hidden_dim,latent_dim,tau,dropout_rate,n_epochs,lr,l2_lambda,patience,loss_recon,loss_kl,loss_ot,loss_smooth,loss_deconv,loss_ent,loss_contrast,n_markers_per_type,marker_weight,use_weighted_recon,find_marker_method,pseudo,plot_sets
0.1464578807353973,0.312327116727829,-0.00032303753,0.3826981587823455,0.31015646,0.6280526232788347,0.2639121016995473,-0.0833398005862991,0.090036176,0.56521344,/data/alif/sp_vae_gcn/datasets/seqFISH+/ST_data/,/data/alif/sp_vae_gcn/datasets/seqFISH+/sc_data/,/data/alif/sp_vae_gcn/code_v3/sp-st-gcn/results/seqFISH+/,8086,0.2,0.1,0.1,2.0,128,32,0.5,0.2,300,0.0001,0.0001,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,True,fold_change,"{'spot_num': 2000, 'min_cell_num_in_spot': 2, 'max_cell_num_in_spot': 8, 'max_cell_types_in_spot': 3, 'generation_method': 'celltype', 'n_jobs': 1, 'pretrain_epochs': 100, 'sup_coef': 1.0}",[]
0.1429187953472137,0.3160988390445709,0.0176055505871772,0.3780460227898367,0.3047170341014862,0.627149504440475,0.2767934074456041,-0.0881800265864845,-0.1371548026800155,0.5631583333015442,/data/alif/sp_vae_gcn/datasets/seqFISH+/ST_data/,/data/alif/sp_vae_gcn/datasets/seqFISH+/sc_data/,/data/alif/sp_vae_gcn/code_v3/sp-st-gcn/results/seqFISH+/,8086,0.2,0.1,0.1,2.0,128,32,0.5,0.2,300,0.0001,0.0001,20,1.0,0.0,0.0,0.0,0.0,0.0,0.1,4,1.0,True,fold_change,"{'spot_num': 2000, 'min_cell_num_in_spot': 2, 'max_cell_num_in_spot': 8, 'max_cell_types_in_spot': 3, 'generation_method': 'celltype', 'n_jobs': 1, 'pretrain_epochs': 100, 'sup_coef': 1.0}",[]
0.1552819013595581,0.3241036832332611,-0.0673963204026222,0.3940582461509441,0.3220110833644867,0.6374315001734572,0.2732988707721233,-0.0641744814337635,-0.1083624437451362,0.5233353972434998,/data/alif/sp_vae_gcn/datasets/seqFISH+/ST_data/,/data/alif/sp_vae_gcn/datasets/seqFISH+/sc_data/,/data/alif/sp_vae_gcn/code_v3/sp-st-gcn/results/seqFISH+/,8086,0.2,0.1,0.1,2.0,128,32,0.5,0.2,300,0.0001,0.0001,20,1.0,0.0,0.0,0.0,0.0,0.1,0.0,4,1.0,True,fold_change,"{'spot_num': 2000, 'min_cell_num_in_spot': 2, 'max_cell_num_in_spot': 8, 'max_cell_types_in_spot': 3, 'generation_method': 'celltype', 'n_jobs': 1, 'pretrain_epochs': 100, 'sup_coef': 1.0}",[]
0.1498851180076599,0.3217494487762451,-0.0390327535569667,0.3871499941981917,0.3181875944137573,0.6397374232230584,0.2783951383422721,-0.2031719415016983,-0.2471088021993637,0.5362314581871033,/data/alif/sp_vae_gcn/datasets/seqFISH+/ST_data/,/data/alif/sp_vae_gcn/datasets/seqFISH+/sc_data/,/data/alif/sp_vae_gcn/code_v3/sp-st-gcn/results/seqFISH+/,8086,0.2,0.1,0.1,2.0,128,32,0.5,0.2,300,0.0001,0.0001,20,1.0,0.0,0.0,0.0,0.0,0.1,0.1,4,1.0,True,fold_change,"{'spot_num': 2000, 'min_cell_num_in_spot': 2, 'max_cell_num_in_spot': 8, 'max_cell_types_in_spot': 3, 'generation_method': 'celltype', 'n_jobs': 1, 'pretrain_epochs': 100, 'sup_coef': 1.0}",[]
0.1422789841890335,0.3144662380218506,0.0401224121451377,0.3771988655723046,0.3093874156475067,0.6333699654752614,0.2618463474579833,-0.1102494813391313,-0.1856379061937332,0.551984429359436,/data/alif/sp_vae_gcn/datasets/seqFISH+/ST_data/,/data/alif/sp_vae_gcn/datasets/seqFISH+/sc_data/,/data/alif/sp_vae_gcn/code_v3/sp-st-gcn/results/seqFISH+/,8086,0.2,0.1,0.1,2.0,128,32,0.5,0.2,300,0.0001,0.0001,20,1.0,0.0,0.0,0.0,5.0,0.0,0.0,4,1.0,True,fold_change,"{'spot_num': 2000, 'min_cell_num_in_spot': 2, 'max_cell_num_in_spot': 8, 'max_cell_types_in_spot': 3, 'generation_method': 'celltype', 'n_jobs': 1, 'pretrain_epochs': 100, 'sup_coef': 1.0}",[]
0.1172380223870277,0.2829923927783966,0.1883886307477951,0.3424003831584126,0.2638687789440155,0.584031000568245,0.2799948917871172,0.5863805321283082,0.7105172872543335,0.6790268421173096,/data/alif/sp_vae_gcn/datasets/seqFISH+/ST_data/,/data/alif/sp_vae_gcn/datasets/seqFISH+/sc_data/,/data/alif/sp_vae_gcn/code_v3/sp-st-gcn/results/seqFISH+/,8086,0.2,0.1,0.1,2.0,128,32,0.5,0.2,300,0.0001,0.0001,20,1.0,0.0,0.0,0.0,5.0,0.0,0.1,4,1.0,True,fold_change,"{'spot_num': 2000, 'min_cell_num_in_spot': 2, 'max_cell_num_in_spot': 8, 'max_cell_types_in_spot': 3, 'generation_method': 'celltype', 'n_jobs': 1, 'pretrain_epochs': 100, 'sup_coef': 1.0}",[]
0.1189862489700317,0.2817641496658325,0.1897539943456649,0.3449438345151739,0.2638047337532043,0.5813071263796196,0.2690456328405575,0.5509540294233483,0.5447909832000732,0.6727864146232605,/data/alif/sp_vae_gcn/datasets/seqFISH+/ST_data/,/data/alif/sp_vae_gcn/datasets/seqFISH+/sc_data/,/data/alif/sp_vae_gcn/code_v3/sp-st-gcn/results/seqFISH+/,8086,0.2,0.1,0.1,2.0,128,32,0.5,0.2,300,0.0001,0.0001,20,1.0,0.0,0.0,0.0,5.0,0.1,0.0,4,1.0,True,fold_change,"{'spot_num': 2000, 'min_cell_num_in_spot': 2, 'max_cell_num_in_spot': 8, 'max_cell_types_in_spot': 3, 'generation_method': 'celltype', 'n_jobs': 1, 'pretrain_epochs': 100, 'sup_coef': 1.0}",[]
0.1199651807546615,0.2829392552375793,0.1771744191646576,0.3463599006159078,0.2636143267154693,0.5783821638294512,0.2774348672140728,0.5509540294233483,0.5554842352867126,0.6688045263290405,/data/alif/sp_vae_gcn/datasets/seqFISH+/ST_data/,/data/alif/sp_vae_gcn/datasets/seqFISH+/sc_data/,/data/alif/sp_vae_gcn/code_v3/sp-st-gcn/results/seqFISH+/,8086,0.2,0.1,0.1,2.0,128,32,0.5,0.2,300,0.0001,0.0001,20,1.0,0.0,0.0,0.0,5.0,0.1,0.1,4,1.0,True,fold_change,"{'spot_num': 2000, 'min_cell_num_in_spot': 2, 'max_cell_num_in_spot': 8, 'max_cell_types_in_spot': 3, 'generation_method': 'celltype', 'n_jobs': 1, 'pretrain_epochs': 100, 'sup_coef': 1.0}",[]
0.1109390556812286,0.276713877916336,0.2479938268661499,0.3330751502007146,0.2548249661922455,0.5742509412330083,0.2647123269059441,0.4052780453792566,0.4888150990009308,0.6889311671257019,/data/alif/sp_vae_gcn/datasets/seqFISH+/ST_data/,/data/alif/sp_vae_gcn/datasets/seqFISH+/sc_data/,/data/alif/sp_vae_gcn/code_v3/sp-st-gcn/results/seqFISH+/,8086,0.2,0.1,0.1,2.0,128,32,0.5,0.2,300,0.0001,0.0001,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,True,wilcoxon,"{'spot_num': 2000, 'min_cell_num_in_spot': 2, 'max_cell_num_in_spot': 8, 'max_cell_types_in_spot': 3, 'generation_method': 'celltype', 'n_jobs': 1, 'pretrain_epochs': 100, 'sup_coef': 1.0}",[]
0.1188436597585678,0.2911098599433899,0.1754846274852752,0.3447370878779476,0.2661814391613006,0.586201818063413,0.2799838557839393,0.690821742267217,0.683725118637085,0.6684035658836365,/data/alif/sp_vae_gcn/datasets/seqFISH+/ST_data/,/data/alif/sp_vae_gcn/datasets/seqFISH+/sc_data/,/data/alif/sp_vae_gcn/code_v3/sp-st-gcn/results/seqFISH+/,8086,0.2,0.1,0.1,2.0,128,32,0.5,0.2,300,0.0001,0.0001,20,1.0,0.0,0.0,0.0,0.0,0.0,0.1,4,1.0,True,wilcoxon,"{'spot_num': 2000, 'min_cell_num_in_spot': 2, 'max_cell_num_in_spot': 8, 'max_cell_types_in_spot': 3, 'generation_method': 'celltype', 'n_jobs': 1, 'pretrain_epochs': 100, 'sup_coef': 1.0}",[]
